id,label,text,clean_text,cl_data
26,0,ಹೌದು ಇದು ಸಾಕ್ಷಾತ್ ಕೃಷ್ಣ ಕೋಟ ಶಾಪದ ಪರಿಣಾಮ,ಹೌದು ಇದು ಸಾಕ್ಷಾತ್ ಕೃಷ್ಣ ಕೋಟ ಶಾಪದ ಪರಿಣಾಮ,"1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1"
27,1,ನೋಡಿ ಸರ್ ಯಾವದನು ಅಲೆಗಳಗಿಲ್ಲ ನಾನು ದೇವರನ ನಂಬಲ ಅಂದರೆ ಕೃಷ್ಣನ ಖಂಡಿತಾ ನಂಬತಿನಿ,ನೋಡಿ ಸರ್ ಯಾವದನು ಅಲೆಗಳಗಿಲ್ಲ ನಾನು ದೇವರನ ನಂಬಲ ಅಂದರೆ ಕೃಷ್ಣನ ಖಂಡಿತಾ ನಂಬತಿನಿ,"1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
28,0,Yakebdre krishnana shapa aduke,Yakebdre krishnana shapa aduke,"4,4,4,1,1,1,8,8,4,2,2,2,2,1,1,1,1,1,1,2,2,2,2,4,4,2,4,2,4,4"
29,0,Haudu Swami.Neevu helliddu satthyaa.Gadugin Bharat yemba Grantha baredanthaa Kumarvyaasare aa Narayan santharu.Igalu sahaa naavu Veearanarayan temple nodabahudu.Idu Iruvadhu Gadag city yalli.Hubballi yindaa 55 Km antharadalli Ide.,Haudu Swami Neevu helliddu satthyaa Gadugin Bharat yemba Grantha baredanthaa Kumarvyaasare aa Narayan santharu Igalu sahaa naavu Veearanarayan temple nodabahudu Idu Iruvadhu Gadag city yalli Hubballi yindaa Km antharadalli Ide,"1,3,3,3,3,3,3,3,3,1,1,1,1,4,4,2,1,1,1,1,1,1,2,1,1,4,4,2,18,18,18,18,18,18,18,18,1,1,1,1,1,1,1,1,1,1,3,15,15,15,15,15,5,5,5,5,1,5,5,5,1,1,1,2,1,2,2,2,1,1,1,1,6,6,6,6,6,6,12,12,12,12,3,3,1,3,3,24,24,24,24,24,24,4,8,8,8,8,8,8,1,1,2,4,1,1,1,2,2,1,1,1,1,1,1,4,4,2,12,12,12,12,12,12,12,12,2,1,1,1,1,1,1,1,1,1,15,15,15,15,15,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,3,3,3,3,3,1,3,3,6,6,6,1,1,1,1,3,3,1,1,1,4,4,4,2,4,4,4,8,8,8,8,1,1,1,1,3,3,6,6,6,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,3,3,1"
30,0,ನಿಜ್ವಗ್ಲೂ ಇದು ಸತ್ಯ ನಾ,ನಿಜ್ವಗ್ಲೂ ಇದು ಸತ್ಯ ನಾ,"1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
31,1,Corona dhinda theatre Alli cinema nodokke aaglilla maga. Mathhe nodthini. Cinema direction  adbutha madidya.,Corona dhinda theatre Alli cinema nodokke aaglilla maga Mathhe nodthini Cinema direction adbutha madidya,"2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,9,9,9,9,9,9,9,3,3,1,1,1,1,8,8,8,4,4,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,10,10,10,10,10,10,1,1,1,18,18,9,9,9,9,9,3,3,3,1,1,1,2,1"
32,0,nim taste gottaythu.. nthaavu dandupalya-5 ge wait maadta idiri alva,nim taste gottaythu nthaavu dandupalya ge wait maadta idiri alva,"1,1,1,1,1,2,2,1,1,1,2,4,4,4,4,2,4,4,1,1,1,1,1,2,2,2,1,1,1,2,1,1,4,4,4,1,4,4,4,1,1,1,4,4,2,4,4,8,8,8,1,1,5,5,5,5,1,5,5,5,5,5,1,1"
33,0,ಒಳ್ಳೆ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗೆ ಯಾವಾಗ್ಲೂ ಸಪೋರ್ಟ್ ಮಾಡೋ fans ಕಡೆಯಿಂದ,ಒಳ್ಳೆ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗೆ ಯಾವಾಗ್ಲೂ ಸಪೋರ್ಟ್ ಮಾಡೋ fans ಕಡೆಯಿಂದ,"1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,4,2,4,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1"
34,1,Trailer barii ide nodlebeku..,Trailer barii ide nodlebeku,"16,16,16,16,16,16,16,16,2,2,2,1,2,1,1,1,1,1,1,1,1,1,16,16,16,16,16"
35,0,ಈ ತರಹ‌ ಒಳ್ಳೆಯ ಕಾಂಸೆಪ್ಟ್ ಇಟ್ಕೊಂಡ್ ಮೂವಿ ಮಾಡ್ರಪ್ಪ. ಕಿಸ್ ಮಾಡೋದು,ಈ ತರಹ ಒಳ್ಳೆಯ ಕಾಂಸೆಪ್ಟ್ ಇಟ್ಕೊಂಡ್ ಮೂವಿ ಮಾಡ್ರಪ್ಪ ಕಿಸ್ ಮಾಡೋದು,"1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1"
36,0,ಇಂಥ ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಗಳ ಹಾವಳಿ ನಂಗೆ ಗೊತ್ತಿದ್ದ ಮಟ್ಟಿಗೆ ಲೂಸಿಯಾ,ಇಂಥ ಒಳ್ಳೆ ಫಿಲ್ಮ್ ಗಳ ಹಾವಳಿ ನಂಗೆ ಗೊತ್ತಿದ್ದ ಮಟ್ಟಿಗೆ ಲೂಸಿಯಾ,"1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
